disp_id,client_id,account_id,type_disp,frequency,Creation_account,card_id,Type_card,issued_date,district_id,district_name,region,nbr_inhabitants,nbr_municipalities_inhabitants < 499,nbr_municipalities_inhabitants 500-1999,nbr_municipalities_inhabitants 2000-9999,nbr_municipalities_inhabitants  >10000,nbr_cities,ratio_urban_inhabitants,average_salary,unemploymant_rate95,unemploymant_rate96,nbr_enterpreneurs_1000inhabitants,nbr_crimes95,nbr_crimes96,client_age,gender,birthdate,Credits,Withdrawals,remittance_another_bank,collection_another_bank,credit_cash,withdrawal_cash,creditcard_withdrawal,Q1-1993,Q1-1994,Q1-1995,Q1-1996,Q1-1997,Q1-1998,Q2-1993,Q2-1994,Q2-1995,Q2-1996,Q2-1997,Q2-1998,Q3-1993,Q3-1994,Q3-1995,Q3-1996,Q3-1997,Q3-1998,Q4-1993,Q4-1994,Q4-1995,Q4-1996,Q4-1997,Q4-1998,Other,Leasing,Insurance_Pay,Household_Pay,Loan_Pay,nbr_Other,nbr_Leasing,nbr_Insurance_Pay,nbr_Household_Pay,nbr_Loan_Pay,loan_id,date,amount,duration,payments,status
1,1,1,OWNER,Monthly,1995-03-24,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,29.0,female,1970-12-13,194320.5,,98080.0,165555.0,25700.0,82774.00000000003,,0,0,1,22,21,20,0,0,9,17,13,15,0,0,12,18,16,14,0,0,26,29,25,23,,,,2452.0,,,,,1.0,,,,,,,
2,2,2,OWNER,Monthly,1993-02-26,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,55.0,male,1945-02-04,1597053.4999999998,1554425.8000000003,553234.8000000002,1537936.0,48400.0,1001190.999999999,,4,22,23,22,25,23,9,21,23,21,20,19,20,21,19,21,20,20,35,35,33,34,33,37,,,,7266.0,3372.7,,,,1.0,1.0,4959.0,1994-01-05,80952.0,24.0,3373.0,A
3,3,2,DISPONENT,Monthly,1993-02-26,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,59.0,female,1940-10-09,1597053.4999999998,1554425.8000000003,553234.8000000002,1537936.0,48400.0,1001190.999999999,,4,22,23,22,25,23,9,21,23,21,20,19,20,21,19,21,20,20,35,35,33,34,33,37,,,,7266.0,3372.7,,,,1.0,1.0,4959.0,1994-01-05,80952.0,24.0,3373.0,A
4,4,3,OWNER,Monthly,1997-07-07,,,,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,43.0,male,1956-12-01,173059.0,,65013.0,,170989.0,56949.79999999998,,0,0,0,0,0,27,0,0,0,0,0,22,0,0,0,0,9,22,0,0,0,0,22,36,327.0,,3539.0,1135.0,,1.0,,1.0,1.0,,,,,,,
5,5,3,DISPONENT,Monthly,1997-07-07,,,,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,40.0,female,1960-07-03,173059.0,,65013.0,,170989.0,56949.79999999998,,0,0,0,0,0,27,0,0,0,0,0,22,0,0,0,0,9,22,0,0,0,0,22,36,327.0,,3539.0,1135.0,,1.0,,1.0,1.0,,,,,,,
6,6,4,OWNER,Monthly,1996-02-21,,,,12,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,80.0,male,1919-09-22,192346.00000000003,,98812.0,188802.0,800.0,59813.399999999965,,0,0,0,2,23,20,0,0,0,3,18,18,0,0,0,17,17,16,0,0,0,29,32,25,,,,3363.0,,,,,2.0,,,,,,,
7,7,5,OWNER,Monthly,1997-05-30,,,,15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,71.0,male,1929-01-25,97485.00000000001,,37352.0,95323.0,600.0,32044.39999999999,,0,0,0,0,0,19,0,0,0,0,2,15,0,0,0,0,3,16,0,0,0,0,15,27,,,,2668.0,,,,,1.0,,,,,,,
8,8,6,OWNER,Monthly,1994-09-27,,,,51,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,62.0,female,1938-02-21,347617.49999999994,,185838.0,340119.0,900.0,114111.60000000012,,0,0,12,22,19,20,0,0,14,14,14,15,0,1,14,12,14,13,0,4,27,23,23,21,,,,3954.0,,,,,1.0,,,,,,,
9,9,7,OWNER,Monthly,1996-11-24,1.0,gold,1998-10-16,60,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,64.0,male,1935-10-16,630267.8999999999,,97600.0,,623775.0,458271.9999999998,5900.0,0,0,0,0,9,21,0,0,0,0,15,18,0,0,0,0,17,16,0,0,0,4,26,26,,,,4880.0,,,,,1.0,,,,,,,
10,10,8,OWNER,Monthly,1995-09-21,,,,57,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,57.0,male,1943-05-01,892761.6999999998,,319628.0,,885084.0,500516.3999999997,,0,0,0,14,26,29,0,0,0,21,20,19,0,0,1,18,18,19,0,0,10,34,32,31,6712.0,,,2612.0,,1.0,,,1.0,,,,,,,
11,11,8,DISPONENT,Monthly,1995-09-21,,,,57,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,49.0,female,1950-08-22,892761.6999999998,,319628.0,,885084.0,500516.3999999997,,0,0,0,14,26,29,0,0,0,21,20,19,0,0,1,18,18,19,0,0,10,34,32,31,6712.0,,,2612.0,,1.0,,,1.0,,,,,,,
12,12,9,OWNER,Monthly,1993-01-27,,,,40,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,19.0,male,1981-02-20,360155.8999999999,,,,352557.0,336278.19999999995,,7,21,22,22,19,15,13,15,15,13,15,15,15,14,14,16,10,13,22,24,25,24,22,22,,,,,,,,,,,,,,,,
13,13,10,OWNER,Monthly,1996-08-28,,,,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,26.0,female,1974-05-29,549950.2999999999,,161759.0,,544423.0,328895.79999999993,,0,0,0,0,18,22,0,0,0,0,18,19,0,0,0,4,17,15,0,0,0,13,28,27,,1344.0,,7033.0,,,1.0,,1.0,,,,,,,
14,14,11,OWNER,Monthly,1995-10-10,,,,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,58.0,female,1942-06-22,140643.69999999998,,74620.0,136266.0,300.0,42836.399999999994,,0,0,0,10,22,21,0,0,0,13,13,17,0,0,0,12,15,16,0,0,7,22,24,24,,,,2132.0,,,,,1.0,,,,,,,
15,15,12,OWNER,Monthly,1997-04-15,,,,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,81.0,female,1918-08-28,121432.30000000003,,53880.0,118760.0,1100.0,41438.999999999985,,0,0,0,0,0,25,0,0,0,0,3,16,0,0,0,0,10,15,0,0,0,0,28,26,,,,3592.0,,,,,2.0,,,,,,,
16,16,12,DISPONENT,Monthly,1997-04-15,,,,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,81.0,male,1919-02-25,121432.30000000003,,53880.0,118760.0,1100.0,41438.999999999985,,0,0,0,0,0,25,0,0,0,0,3,16,0,0,0,0,10,15,0,0,0,0,28,26,,,,3592.0,,,,,2.0,,,,,,,
17,17,13,OWNER,Monthly,1997-08-17,,,,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,65.0,male,1934-10-13,110719.4,,26884.0,108848.0,1000.0,70610.59999999999,,0,0,0,0,0,20,0,0,0,0,0,16,0,0,0,0,2,16,0,0,0,0,9,24,,,,2444.0,,,,,1.0,,,,,,,
18,18,13,DISPONENT,Monthly,1997-08-17,,,,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,69.0,female,1931-04-05,110719.4,,26884.0,108848.0,1000.0,70610.59999999999,,0,0,0,0,0,20,0,0,0,0,0,16,0,0,0,0,2,16,0,0,0,0,9,24,,,,2444.0,,,,,1.0,,,,,,,
19,19,14,OWNER,Monthly,1996-11-27,2.0,classic,1998-03-13,47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,57.0,male,1942-12-28,412585.99999999994,,72580.0,,408445.0,287692.00000000006,13000.0,0,0,0,0,9,15,0,0,0,0,14,18,0,0,0,0,15,16,0,0,0,4,26,28,,,,3629.0,,,,,1.0,,,,,,,
20,20,15,OWNER,Monthly,1993-10-02,,,,46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,21.0,male,1979-01-04,1188498.0999999999,,181248.0,,1178458.0,959826.799999999,,0,16,23,22,25,23,0,16,16,16,16,16,0,15,17,17,16,16,10,27,29,31,27,25,,,,3072.0,,,,,1.0,,,,,,,
21,21,16,OWNER,Monthly,1997-09-23,,,,12,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,47.0,female,1952-10-29,347217.9000000001,,,,345678.0,314186.0,,0,0,0,0,0,11,0,0,0,0,0,15,0,0,0,0,1,13,0,0,0,0,10,20,,,,,,,,,,,,,,,,
22,22,17,OWNER,Monthly,1997-01-08,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,30.0,female,1969-10-11,255463.59999999992,157585.6,8064.0,,251244.0,149521.6,,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,6,7,0,0,0,0,12,19,,,,4032.0,,,,,1.0,,,,,,,
23,23,17,DISPONENT,Monthly,1997-01-08,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,27.0,male,1973-05-29,255463.59999999992,157585.6,8064.0,,251244.0,149521.6,,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,6,7,0,0,0,0,12,19,,,,4032.0,,,,,1.0,,,,,,,
24,24,18,OWNER,Weekly,1993-05-26,,,,43,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,60.0,female,1939-07-29,1905128.2999999993,1823570.0,,,1893128.0,1823570.0,,0,10,11,17,19,13,2,14,12,18,17,16,3,26,10,16,21,12,4,42,19,21,41,24,,,,,,,,,,,,,,,,
25,25,19,OWNER,Monthly,1995-04-07,,,,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,61.0,female,1939-04-23,793194.6,782321.2999999993,20185.600000000002,741807.0,45800.0,762135.6999999994,,0,0,0,23,21,20,0,0,12,24,19,19,0,0,19,21,19,21,0,0,38,35,32,36,,,,,2523.2,,,,,1.0,4961.0,1996-04-29,30276.0,12.0,2523.0,B
