"","userid","artistid","prediction"
"1",2,"51","2.20073695748508"
"3",4,"51","1.05695725677213"
"4",5,"51","0.231429108987258"
"6",7,"51","0.595400764270832"
"9",11,"51","0.198466921423611"
"10",12,"51","1.31682482392743"
"11",13,"51","0.0992334607118053"
"12",15,"51","0.887761089095234"
"14",17,"51","0.297700382135416"
"15",18,"51","0.718171611070139"
"16",21,"51","0.198466921423611"
"18",23,"51","1.07743428690405"
"19",24,"51","0.793867685694443"
"20",25,"51","0.297700382135416"
"21",26,"51","0.940603129738597"
"22",27,"51","0.415309028739729"
"23",28,"51","0.119872138810534"
"26",31,"51","1.17808271000661"
"27",32,"51","0.77974553192467"
"28",33,"51","0.297097312094319"
"29",34,"51","0.83839749047836"
"31",38,"51","0.800705270477616"
"32",41,"51","0.392012729913562"
"33",42,"51","0.239036796425692"
"35",44,"51","0.583149544816651"
"39",48,"51","1.25165634104479"
"41",50,"51","0.478073592851384"
"42",51,"51","0.245007956195976"
"44",53,"51","0.307393063972806"
"45",54,"51","0.198466921423611"
"46",56,"51","0.359616416431601"
"48",58,"51","0.496167303559027"
"49",59,"51","1.23603881452096"
"50",62,"51","1.17682939558266"
"51",63,"51","0.430547642393154"
"54",66,"51","0.934386663834279"
"55",68,"51","0.396933842847221"
"57",70,"51","0.118838924837728"
"58",71,"51","0.196006364956781"
"59",72,"51","0.198466921423611"
"60",73,"51","0.281421814616553"
"62",75,"51","0.297700382135416"
"70",84,"51","0.245007956195976"
"72",87,"51","0.198466921423611"
"74",90,"51","0.239036796425692"
"76",92,"51","0.0992334607118053"
"77",94,"51","0.625459459266498"
"78",95,"51","0.198466921423611"
"79",96,"51","0.317985319636457"
"80",98,"51","0.296470103902001"
"81",99,"51","0.958977110484269"
"82",100,"51","0.470465905412951"
"84",102,"51","0.358555194638538"
"85",103,"51","0.599360694052668"
"88",107,"51","0.441014321152757"
"90",113,"51","0.689110042007881"
"91",114,"51","0.0771430363290862"
"93",117,"51","1.67174338471774"
"95",119,"51","0.0980031824783904"
"98",124,"51","1.40562767694239"
"99",125,"51","0.198466921423611"
"100",126,"51","0.396933842847221"
"102",128,"51","0.599360694052668"
"103",129,"51","0.297700382135416"
"104",130,"51","0.396933842847221"
"106",133,"51","0.396933842847221"
"107",134,"51","0.0992334607118053"
"108",135,"51","0.975655858801161"
"109",136,"51","0.198466921423611"
"110",137,"51","0.496167303559027"
"112",140,"51","0.308572145316345"
"113",141,"51","0.456912117714616"
"114",142,"51","0.438211199044678"
"115",143,"51","1.0142077013714"
"116",144,"51","0.198466921423611"
"118",146,"51","0.297700382135416"
"119",147,"51","0.496167303559027"
"125",154,"51","0.0490015912391952"
"126",156,"51","0.119518398212846"
"127",157,"51","0.0980031824783904"
"129",159,"51","1.65219637307616"
"131",162,"51","0.297700382135416"
"133",164,"51","0.534775161769774"
"134",170,"51","0.482685805871431"
"137",174,"51","0.239036796425692"
"139",176,"51","0.719232832863201"
"140",177,"51","0.343011138674366"
"141",178,"51","0.245007956195976"
"142",179,"51","0.438211199044678"
"143",181,"51","0.435704570196783"
"145",183,"51","1.37584215023484"
"146",184,"51","0.438211199044678"
"147",185,"51","0.457596562719459"
"148",186,"51","0.0490015912391952"
"149",187,"51","0.806266982889722"
"150",189,"51","0.237677849675455"
"151",190,"51","0.396933842847221"
"152",191,"51","0.577468701529992"
"154",193,"51","0.718171611070139"
"157",198,"51","0.237677849675455"
"158",200,"51","0.576863431757504"
"159",201,"51","0.839104971673735"
"160",202,"51","0.147004773717586"
"164",208,"51","0.0980031824783904"
"165",209,"51","0.0992334607118053"
"166",210,"51","1.4951684558168"
"167",211,"51","1.42944301589722"
"168",212,"51","0.0490015912391952"
"170",214,"51","0.793867685694443"
"171",215,"51","0.0594194624188638"
"172",216,"51","0.719232832863201"
"173",217,"51","0.0980031824783904"
"174",218,"51","0.719232832863201"
"176",220,"51","0.332544459914764"
"178",224,"51","0.884861765502799"
"180",226,"51","0.198466921423611"
"181",227,"51","0.496167303559027"
"183",230,"51","0.396933842847221"
"184",231,"51","0.198466921423611"
"185",232,"51","0.396933842847221"
"186",233,"51","0.198466921423611"
"188",235,"51","0.294009547435171"
"190",237,"51","0.743590902908851"
"192",240,"51","0.198466921423611"
"194",242,"51","0.198466921423611"
"195",243,"51","1.39322837974711"
"202",253,"51","0.595400764270832"
"204",256,"51","0.793867685694443"
"205",257,"51","0.239744277621067"
"207",260,"51","0.297700382135416"
"209",262,"51","0.599360694052668"
"210",263,"51","1.16910952252898"
"211",264,"51","1.68143606655513"
"213",266,"51","0.611175154182256"
"216",269,"51","0.667834821150258"
"217",271,"51","0.496167303559027"
"219",274,"51","0.958977110484269"
"220",275,"51","0.577114960932305"
"222",278,"51","0.396933842847221"
"224",280,"51","0.198466921423611"
"225",281,"51","0.353429009854035"
"226",282,"51","0.720363655546886"
"227",285,"51","0.265843698555313"
"228",286,"51","0.198466921423611"
"229",288,"51","0.147004773717586"
"230",289,"51","0.308572145316345"
"231",290,"51","0.270183768579743"
"234",295,"51","0.196006364956781"
"236",299,"51","0.198466921423611"
"237",300,"51","0.804172547123853"
"238",301,"51","0.297700382135416"
"240",304,"51","0.479488555242134"
"242",306,"51","1.49446097462143"
"243",308,"51","0.294009547435171"
"247",313,"51","0.441014321152757"
"249",315,"51","0.512161793921592"
"250",316,"51","0.359616416431601"
"251",317,"51","0.456558377116929"
"252",318,"51","0.198466921423611"
"255",321,"51","0.0980031824783904"
"257",324,"51","0.343011138674366"
"259",326,"51","0.198466921423611"
"260",327,"51","0.198466921423611"
"262",329,"51","0.595400764270832"
"263",330,"51","0.198466921423611"
"266",333,"51","0.496167303559027"
"267",334,"51","0.385715181645431"
"268",335,"51","0.496167303559027"
"270",337,"51","0.147004773717586"
"271",338,"51","0.549989637271979"
"272",339,"51","0.496167303559027"
"273",340,"51","0.575192230103813"
"274",342,"51","0.239744277621067"
"275",343,"51","0.245007956195976"
"276",345,"51","0.0992334607118053"
"277",346,"51","0.7757739749868"
"281",350,"51","0.893101146406248"
"283",352,"51","0.297700382135416"
"288",357,"51","0.719232832863201"
"290",359,"51","1.14691701303584"
"292",361,"51","0.635970639272913"
"294",363,"51","0.178258387256591"
"298",370,"51","0.478073592851384"
"299",371,"51","0.958977110484269"
"302",375,"51","0.198466921423611"
"303",376,"51","0.441014321152757"
"304",377,"51","0.441014321152757"
"305",378,"51","0.634391592071535"
"306",380,"51","0.694634224982637"
"307",383,"51","0.385715181645431"
"310",387,"51","0.893101146406248"
"312",390,"51","0.694634224982637"
"314",392,"51","0.0992334607118053"
"315",393,"51","0.154286072658172"
"316",395,"51","0.0980031824783904"
"317",396,"51","1.11616667571042"
"318",397,"51","0.718879092265514"
"319",398,"51","0.702602495595584"
"321",400,"51","0.198466921423611"
"323",402,"51","0.772083140286555"
"324",403,"51","0.198466921423611"
"325",405,"51","0.694634224982637"
"326",408,"51","0.479488555242134"
"327",409,"51","0.307393063972806"
"330",412,"51","0.0992334607118053"
"331",413,"51","1.12453025539351"
"332",414,"51","0.496167303559027"
"333",415,"51","0.496167303559027"
"334",417,"51","0.297700382135416"
"337",420,"51","0.496167303559027"
"338",421,"51","0.396933842847221"
"339",423,"51","1.81029340600768"
"340",424,"51","0.62649332895972"
"344",428,"51","2.61456125473489"
"345",430,"51","2.33164744962477"
"346",431,"51","1.25853618419225"
"351",436,"51","1.71340492617697"
"354",441,"51","0.239744277621067"
"355",442,"51","1.8194402546165"
"357",446,"51","3.29364673640097"
"359",449,"51","0.0980031824783904"
"360",450,"51","0.0980031824783904"
"362",452,"51","0.775581882355916"
"363",453,"51","0.718525351667826"
"367",458,"51","0.895100280568761"
"368",459,"51","0.245007956195976"
"369",460,"51","0.359616416431601"
"370",461,"51","1.39400464414976"
"371",462,"51","0.358555194638538"
"373",465,"51","0.908677104457628"
"374",466,"51","0.198466921423611"
"377",469,"51","0.245007956195976"
"378",470,"51","0.793867685694443"
"379",472,"51","0.198466921423611"
"381",474,"51","1.27731617071841"
"382",475,"51","0.154286072658172"
"383",476,"51","0.856888568253757"
"384",477,"51","0.496167303559027"
"386",479,"51","0.198466921423611"
"387",480,"51","0.884955383418228"
"388",481,"51","0.396933842847221"
"389",482,"51","0.297700382135416"
"390",484,"51","0.677955476665745"
"391",485,"51","0.118838924837728"
"392",486,"51","0.198466921423611"
"394",488,"51","0.35787572126342"
"395",489,"51","0.648724292669542"
"397",491,"51","0.196006364956781"
"398",493,"51","1.35375172585212"
"401",497,"51","0.0992334607118053"
"402",498,"51","0.694634224982637"
"403",499,"51","0.338977738332873"
"404",501,"51","0.297700382135416"
"406",503,"51","0.496167303559027"
"412",511,"51","0.238357323050574"
"414",513,"51","0.178258387256591"
"415",514,"51","0.694634224982637"
"416",515,"51","0.154286072658172"
"417",516,"51","0.746365467770254"
"418",518,"51","0.694634224982637"
"419",519,"51","0.871501285155696"
"420",520,"51","1.62347996204078"
"422",525,"51","0.196006364956781"
"423",527,"51","0.297700382135416"
"424",529,"51","0.147004773717586"
"425",530,"51","0.119872138810534"
"426",531,"51","0.297700382135416"
"428",533,"51","0.198466921423611"
"429",534,"51","1.11616667571042"
"430",535,"51","0.239036796425692"
"431",536,"51","0.496923180268167"
"432",537,"51","0.0594194624188638"
"434",539,"51","1.17666774761586"
"435",540,"51","1.80430863292702"
"436",541,"51","0.534775161769774"
"438",543,"51","1.07708054630636"
"441",546,"51","0.294009547435171"
"442",547,"51","0.216842107316118"
"443",549,"51","0.597397189408961"
"444",550,"51","0.314845289794508"
"446",553,"51","0.198466921423611"
